recall,precision
1.0,0.2840677966101695
1.0,0.28416412343167174
1.0,0.28426051560379917
1.0,0.28435697319307773
1.0,0.2847434590553857
1.0,0.2858117326057299
1.0,0.2859092459911293
1.0,0.2860068259385666
1.0,0.2861044725162171
1.0,0.2862999658353263
1.0,0.2863978127136022
1.0,0.2864957264957265
1.0,0.286593707250342
1.0,0.28669175504618544
1.0,0.2867898699520876
1.0,0.28698630136986303
1.0,0.28708461801986984
1.0,0.2871830020562029
1.0,0.28757721345229925
1.0,0.2876759354617233
1.0,0.28777472527472525
1.0,0.2878735829611817
1.0,0.28797250859106527
1.0,0.28807150223444483
1.0,0.28817056396148555
1.0,0.28826969384244927
1.0,0.28836889194769444
1.0,0.2884681583476764
1.0,0.28866689631415776
1.0,0.28876636802205374
1.0,0.28886590830748016
1.0,0.2891649413388544
1.0,0.28926475664480494
1.0,0.2893646408839779
1.0,0.28946459412780656
1.0,0.2895646164478231
1.0,0.2897648686030429
1.0,0.2898650985818056
1.0,0.28996539792387543
1.0,0.2900657667012807
1.0,0.2901662049861496
1.0,0.2902667128507101
1.0,0.29036729036729036
1.0,0.2904679376083189
1.0,0.29056865464632453
1.0,0.29066944155393687
1.0,0.2907702984038862
1.0,0.29087122526900383
1.0,0.29097222222222224
1.0,0.2910732893365752
1.0,0.29127563434132775
1.0,0.2913769123783032
1.0,0.29147826086956524
1.0,0.2915796798886569
1.0,0.2916811695092238
1.0,0.29188436084987807
1.0,0.2920878354827466
1.0,0.29218967921896793
1.0,0.2922915940006976
1.0,0.29239357990230286
1.0,0.2924956369982548
1.0,0.2925977653631285
1.0,0.29269996507160323
1.0,0.2932120363890833
1.0,0.2933146657332867
1.0,0.2934173669467787
1.0,0.2937259025587101
1.0,0.2938288920056101
1.0,0.293931953700456
1.0,0.29403508771929826
1.0,0.2941382941382941
1.0,0.29424157303370785
1.0,0.2945518453427065
1.0,0.2947590573338023
1.0,0.294862772695285
1.0,0.29507042253521126
1.0,0.29517435716801693
1.0,0.2952783650458069
1.0,0.29538244624603455
1.0,0.2954866008462623
1.0,0.2955908289241623
1.0,0.2956951305575159
1.0,0.29600847756976334
1.0,0.296113074204947
1.0,0.2962177447861435
1.0,0.29642730810045986
1.0,0.29653220099079974
1.0,0.2966371681415929
1.0,0.29674220963172804
1.0,0.29684732554020543
